stationid,Barangay,Month,Year,Time (AM),Weather Condition,Wind Direction,Color of Water (apparent),Air Temperature (0C),Water Transparency (m),"Depth, m",Water Temperature (0C),Hardness (mg/L)
1,Sampaloc,March,2021,8:10,Sunny ,NE,Green,29,2.8,,28.1,
1,Quiling,March,2021,8:34,Sunny ,NE,Green,28,2.4,,27.2,
1,San Isidro,March,2021,,,,,,,,,
2,Buso-Buso,March,2021,,,,,,,,,
2,Leviste,March,2021,7:48,Sunny,NE,Green,29,3.1,,27.2,
3,Ba�aga,March,2021,,,,,,,,,
3,Manalaw,March,2021,,,,,,,,,
4,Mataas na Kahoy,March,2021,7:00,Fair,NE,Green,25,2.9,,27,
5,Tanauan,March,2021,6:28,Fair,NE,Green,26,3.9,,26.9,
1,Sampaloc,April,2021,10:42,Sunny,NE,Green,30.5,2.5,,28,
1,Quiling,April,2021,7:02,Partly Cloudy,NE,Green,28,2.1,,28.1,
1,San Isidro,April,2021,9:00,Partly Cloudy,SW,Green,30,2.1,,28,
2,Buso-Buso,April,2021,7:57,Sunny,NE,Green,32,1.5,,29,
2,Leviste,April,2021,10:18,Sunny,NE,Green,28,2,,28.5,
3,Ba�aga,April,2021,7:06,Partly Cloudy,NE,Green,31,1.9,,28.7,
3,Manalaw,April,2021,6:38,Cloudy,NE,Green,27,2.6,,27.7,
4,Mataas na Kahoy,April,2021,7:53,Sunny,SW,Green,28,2.4,,27.3,
5,Tanauan,April,2021,7:20,Fair,SW,Green,29,1.9,,27.8,
1,Sampaloc,May,2021,8:08,Partly Cloudy,NE,Green,29,1.9,,28.7,
1,Quiling,May,2021,8:30,Partly Cloudy,NE,Green,29,2,,28.5,
1,San Isidro,May,2021,,,,,,,,,
2,Buso-Buso,May,2021,7:28,Partly Cloudy,NE,Green,28,1.7,,28.2,
2,Leviste,May,2021,7:51,Partly Cloudy,NE,Green,29,1.6,,29.4,
3,Ba�aga,May,2021,7:14,Partly Cloudy,NE,Green,28,1.5,,28.7,
3,Manalaw,May,2021,6:58,Partly Cloudy,NE,Green,28,1.7,,29.6,
4,Mataas na Kahoy,May,2021,6:28,Cloudy,NE,Green,27,3.2,,27.5,
5,Tanauan,May,2021,6:08,Cloudy,NE,Green,26,2.5,,27.2,
1,Sampaloc,June,2021,9:28,Partly Cloudy,SW,Yellow Green ,30.5,1.3,,28.8,
1,Quiling,June,2021,9:59,Cloudy,SW,Yellow Green ,30,1.7,,29.3,
1,San Isidro,June,2021,8:25,Cloudy,SW,Yellow Green ,29,1.1,,29.1,
2,Buso-Buso,June,2021,8:06,Partly Cloudy,SW,Yellow Green ,29,1.2,,29.4,
2,Leviste,June,2021,8:46,Partly Cloudy,SW,Light Yellow Green ,29,1.2,,30,
3,Ba�aga,June,2021,7:52,Cloudy,SW,Yellow Green ,28,1.5,,29.8,
3,Manalaw,June,2021,7:29,Fair,SW,Yellow Green ,28.5,1.5,,30.5,
4,Mataas na Kahoy,June,2021,6:27,Cloudy,SW,Yellow Green ,27,1.4,,28.4,
5,Tanauan,June,2021,6:07,Cloudy,SW,Yellow Green ,27,1.2,,28.3,
1,Sampaloc,July,2021,7:02,Fair,SE,Dark Green,26.5,2.2,50,28.2,
1,Quiling,July,2021,7:30,Partly Sunny,SE,Green,26,2.2,37.1,29.4,
1,San Isidro,July,2021,,,,,,,,,
2,Buso-Buso,July,2021,,,,,,,,,
2,Leviste,July,2021,6:43,Partly Cloudy,SE,Green,25,2.1,29.8,29.3,
3,Ba�aga,July,2021,,,,,,,,,
3,Manalaw,July,2021,,,,,,,,,
4,Mataas na Kahoy,July,2021,8:50,Sunny,NE,Green,31.5,1.95,50,28.5,
5,Tanauan,July,2021,7:42,Partly Sunny,SE,Dark Green,27.5,2.1,30.8,28.4,
1,Sampaloc,August,2021,8:47,Mostly Cloudy,SW,Green,28,2.3,50,29,
1,Quiling,August,2021,9:11,Cloudy,SW,Green,28,2.9,35.5,29.8,
1,San Isidro,August,2021,8:07,Cloudy,NE,Green,28,2.5,50,28.8,
2,Buso-Buso,August,2021,7:45,Cloudy,NW,Green,27.5,1.9,49.9,29.6,
2,Leviste,August,2021,8:30,Cloudy,SW,Green,28,2.2,32.9,28.9,
3,Ba�aga,August,2021,7:30,Cloudy,NW,Green,27,1.8,34.7,28.9,
3,Manalaw,August,2021,7:10,Cloudy,NW,Green,27,2.1,28.6,28.8,
4,Mataas na Kahoy,August,2021,6:34,Cloudy,NW,Green,27,2.7,50,28.8,
5,Tanauan,August,2021,6:14,Cloudy,NW,Green,27.5,2.9,50,28.6,
1,Sampaloc,September,2021,8:44,Cloudy,NE,Green,27,2.3,50,28.8,
1,Quiling,September,2021,9:07,Cloudy,NE,Green,26.5,2.6,32,29,
1,San Isidro,September,2021,8:02,Cloudy,NE,Light Green,26.5,2.1,50,28.8,
2,Buso-Buso,September,2021,8:27,Sunny,NE,Green,28.8,2.8,28.8,29.2,
2,Leviste,September,2021,8:24,Cloudy,NE,Light Green,27,2.2,29,28.9,
3,Ba�aga,September,2021,8:09,Sunny,NE,Green,28.5,3.7,28.5,29.2,
3,Manalaw,September,2021,7:50,Sunny,NE,Green,27.9,3.1,27.9,29.5,
4,Mataas na Kahoy,September,2021,7:13,Fair,NE,Green,27,2.8,50,28.8,
5,Tanauan,September,2021,7:33,Cloudy,NE,Light Green,26,2.8,50,28.5,
1,Sampaloc,October,2021,12:05,Cloudy,NE,Green,28,1.8,50,28,
1,Quiling,October,2021,6:29,Sunny,NE,Dark Green,29,3.2,39,28.9,
1,San Isidro,October,2021,,,,,,,,,
2,Buso-Buso,October,2021,10:09,Cloudy,NE,Green,27,2.4,28.8,29.5,
2,Leviste,October,2021,11:49,Cloudy,NE,Green,29,1.5,34,29,
3,Ba�aga,October,2021,9:44,Cloudy,NE,Green,27,2.2,28.5,29.3,
3,Manalaw,October,2021,8:28,Cloudy,NE,Green,28.5,2.9,27.9,29,
4,Mataas na Kahoy,October,2021,8:44,Sunny ,NE,Green,28.5,2.9,50,28.9,
5,Tanauan,October,2021,6:58,Sunny ,NE,Green,29.5,3.9,50,28.9,
1,Sampaloc,November,2021,11:50,Cloudy,NE,Green,28.5,2.2,50,27.7,
1,Quiling,November,2021,6:23,Cloudy,E,Green,25,4.1,33,28.2,
1,San Isidro,November,2021,,,,,,,,,
2,Buso-Buso,November,2021,9:40,Sunny,NE,Green,30,2.8,57,28.8,
2,Leviste,November,2021,11:03,Sunny,NE,Green,29,1.9,32,28,
3,Ba�aga,November,2021,9:16,Sunny,NE,Green,29,2.9,34,28.8,
3,Manalaw,November,2021,7:38,Partly Cloudy,NE,Green,29,2.7,50,27.8,
4,Mataas na Kahoy,November,2021,8:03,Partly Cloudy,NE,Green,28,4.8,50,28.2,
5,Tanauan,November,2021,8:35,Partly Cloudy,NE,Green,28,4.7,50,28.8,
1,Sampaloc,December ,2021,10:55,Sunny,NE,Green,28,4.1,50,26.9,
1,Quiling,December ,2021,11:35,Sunny,NE,Green,29,,,26.8,
1,San Isidro,December ,2021,,,,,,,,,
2,Buso-Buso,December ,2021,,,,,,,,,
2,Leviste,December ,2021,,,,,,,,,
3,Ba�aga,December ,2021,9:50,Sunny,NE,Green,27,3.8,18,26.9,
3,Manalaw,December ,2021,,,,,,,,,
4,Mataas na Kahoy,December ,2021,,,,,,,,,
5,Tanauan,December ,2021,11:56,Sunny,NE,Green,27,,,29.2,
1,Sampaloc,January ,2022,8:30,Sunny,ENE,Dark Green,27.5,3.3,30,26.8,
1,Quiling,January ,2022,7:52,Fair,NE,Dark Green,27.5,5.3,50,26.8,
1,San Isidro,January ,2022,,,,,,,,,
2,Buso-Buso,January ,2022,10:03,Sunny,NE,Dark Green,26.7,3.9,50,26.9,
2,Leviste,January ,2022,11:53,Sunny,ENE,Dark Green,27.5,2.9,31,26.8,
3,Bañaga,January ,2022,9:36,Sunny,NE,Dark Green,25.8,3.2,39,26.8,
3,Manalaw,January ,2022,7:56,Fair,NE,Dark Green,25.5,3.1,50,26.5,
4,Mataas na Kahoy,January ,2022,6:57,Cloudy,NE,Dark Green,24.9,8.9,50,26.2,
5,Tanauan,January ,2022,6:57,Fair,NE,Dark Green,25.8,4.5,50,26.5,
1,Sampaloc,February,2022,7:51,Sunny,E,Green,26.5,2.4,50,26.8,
1,Quiling,February,2022,8:14,Sunny,E,Green,27,2.4,28,26.9,
1,San Isidro,February,2022,7:09,Fair,ENE,Green,27,1.8,50,26.9,
2,Buso-Buso,February,2022,8:20,Sunny,SE,Green,27,1.9,50,27.3,
2,Leviste,February,2022,7:32,Sunny,E,Green,25.5,1.9,30,26.9,
3,Ba�aga,February,2022,8:05,Sunny,SE,Green,27,2.1,35,27.3,
3,Manalaw,February,2022,7:48,Partly Cloudy,E,Green,25.3,2.3,29,27,
4,Mataas na Kahoy,February,2022,7:14,Partly Cloudy,SE,Green,25,4.3,50,26.5,
5,Tanauan,February,2022,6:51,Sunny,SE,Green,25,4.6,50,26.5,
1,Sampaloc,March,2022,7:16,Sunny,ENE,Green,28.3,2.1,50,27.4,
1,Quiling,March,2022,7:37,Sunny,ENE,Green,31.5,2.2,28,27.4,
1,San Isidro,March,2022,8:24,Sunny,ENE,Green,28,1.8,50,27.3,
2,Buso-Buso,March,2022,8:06,Partly Cloudy,ENE,Green,27,2.2,49,27,
2,Leviste,March,2022,6:55,Partly Cloudy,ENE,Green,25.9,2.2,29,27,
3,Ba�aga,March,2022,7:52,Sunny,E,Green,27,2.1,33,27.3,
3,Manalaw,March,2022,7:36,Sunny,E,Green,27,2.3,34,27.3,
4,Mataas na Kahoy,March,2022,6:58,Sunny,NE,Green,26,1.7,50,27.1,
5,Tanauan,March,2022,7:58,Sunny,ENE,Green,29.9,2.4,50,27.4,
1,Sampaloc,April,2022,7:48,Mostly Cloudy,ENE,Green,28.8,2.2,50,27.3,
1,Quiling,April,2022,8:23,Mostly Cloudy,E,Green,28.2,2.9,28,27.3,
1,San Isidro,April,2022,7:11,Sunny,ENE,Green,29.5,2.1,50,28,
2,Buso-Buso,April,2022,8:05,Sunny,ENE,Green,32,2.5,50,27.4,
2,Leviste,April,2022,7:36,Sunny,ENE,Green,29,2.2,30,27.6,
3,Ba�aga,April,2022,7:51,Sunny,ENE,Green,28.8,3.1,37,27.7,
3,Manalaw,April,2022,7:35,Sunny,ENE,Green,28,2.9,33,27.9,
4,Mataas na Kahoy,April,2022,6:59,Partly Sunny,ENE,Green,27.5,3.2,50,28,
5,Tanauan,April,2022,8:44,Sunny,ENE,Green,28.5,2.3,50,28.1,
1,Sampaloc,May,2022,,,,,,,,,
1,Quiling,May,2022,,,,,,,,,
1,San Isidro,May,2022,,,,,,,,,
2,Buso-Buso,May,2022,8:10,Sunny,E,Green,32,1.8,47,28.2,
2,Leviste,May,2022,8:33,Mostly Cloudy,E,Green,31,1.9,30,30,
3,Ba�aga,May,2022,7:52,Sunny,E,Green,30,1.2,37,28.1,
3,Manalaw,May,2022,7:35,Partly Cloudy ,ENE,Green,28,1.9,32,28.1,
4,Mataas na Kahoy,May,2022,6:55,Cloudy,NE,Green,28,2.5,50,27.3,
5,Tanauan,May,2022,7:00,Partly Cloudy ,ENE,Green,27.1,3.1,50,28,
1,Sampaloc,June,2022,8:53,Partly Cloudy ,ENE,Dark Green ,31.5,1.9,50,29.4,
1,Quiling,June,2022,9:15,Partly Cloudy ,E,Dark Green ,31.5,2.2,33,29.8,
1,San Isidro,June,2022,8:15,Partly Cloudy ,ESE,Dark Green ,31.5,2.3,50,28.8,
2,Buso-Buso,June,2022,7:58,Partly Cloudy ,ENE,Dark Green ,30.5,2.4,50,29.8,
2,Leviste,June,2022,8.36,Partly Cloudy ,ENE,Dark Green ,31,2.1,31,29.4,
3,Ba�aga,June,2022,7:44,Partly Cloudy ,NE,Dark Green ,29,2.5,34,29.8,
3,Manalaw,June,2022,7:28,Partly Cloudy ,ENE,Dark Green ,29.2,2.7,29,29,
4,Mataas na Kahoy,June,2022,6:52,Partly Cloudy ,ENE,Dark Green ,29,2.5,50,28.2,
5,Tanauan,June,2022,6:29,Partly Cloudy ,ESE,Dark Green ,28,2.4,50,28,
1,Sampaloc,July,2022,9:43,Sunny,E,Green,31,2.2,50,29.4,
1,Quiling,July,2022,10:14,Sunny,E,Green,32,1.7,44,29,
1,San Isidro,July,2022,8:53,Sunny,E,Green,29.5,2.2,50,31.1,
2,Buso-Buso,July,2022,8:28,Sunny,E,Green,29,2.4,43,30.2,
2,Leviste,July,2022,9:22,Sunny,E,Green,29,2.9,33,28.4,
3,Ba�aga,July,2022,8:08,Sunny,E,Green,30,3.2,46,28,
3,Manalaw,July,2022,7:45,Sunny,E,Green,30.5,3.7,33,30.7,
4,Mataas na Kahoy,July,2022,7:04,Sunny,NE,Green,26.5,4.5,50,28.1,
5,Tanauan,July,2022,6:59,Partly Cloudy ,NE,Green,27.5,2.2,50,28.2,
1,Sampaloc,August,2022,9:25,Cloudy,SW,Green,29,2.1,50,30.3,
1,Quiling,August,2022,9:49,Cloudy,SW,Green,29.8,1.9,30,28.4,
1,San Isidro,August,2022,8:43,Partly Cloudy ,SW,Green,30,1.9,50,30,
2,Buso-Buso,August,2022,8:20,Cloudy,WSW,Green,29.5,2.5,51,29.6,
2,Leviste,August,2022,9:04,Cloudy,SW,Green,29,3.1,33,29.7,
3,Ba�aga,August,2022,8:05,Partly Cloudy ,WSW,Green,28.5,3.3,40,30,
3,Manalaw,August,2022,7:47,Partly Cloudy ,SE,Green,28.5,2.9,41,29.8,
4,Mataas na Kahoy,August,2022,7:08,Fair,WSW,Green,28,3,50,28.2,
5,Tanauan,August,2022,6:45,Cloudy,WSW,Green,27.5,2.5,50,28.8,
1,Sampaloc,September,2022,9:25,Partly Cloudy ,SW,Green,30,1.9,50,29.8,
1,Quiling,September,2022,9:49,Partly Cloudy ,WSW,Green,31.5,1.9,30,29.6,
1,San Isidro,September,2022,,,,,,,,,
2,Buso-Buso,September,2022,8:09,Cloudy,WSW,Green,29.2,2,50,30,
2,Leviste,September,2022,8:31,Partly Cloud,WSW,Green,29.4,1.4,31,29.9,
3,Ba�aga,September,2022,7:45,Cloudy,WSW,Green,28,1.8,39,29.6,
3,Manalaw,September,2022,7:29,Cloudy,SW,Green,28,2,40,29.6,
4,Mataas na Kahoy,September,2022,6:52,Cloudy,WSW,Green,27,2.1,50,28.4,
5,Tanauan,September,2022,6:30,Cloudy,WSW,Green,26.8,2.8,50,28.2,
1,Sampaloc,October,2022,8:54,Partly Cloud,NE,Green,30.8,1.7,50,29.3,
1,Quiling,October,2022,9:15,Cloudy,NE,Green,30.2,1.9,31,29.6,
1,San Isidro,October,2022,8:17,Partly Cloud,NE,Green,29.8,1.8,50,29.6,
2,Buso-Buso,October,2022,7:59,Cloudy,NE,Green,29.3,1.7,50,29.6,
2,Leviste,October,2022,8:37,Partly Cloud,NE,Green,29.9,1.6,30,29.1,
3,Ba�aga,October,2022,7:45,Cloudy,NE,Green,28.5,1.6,38,29.3,
3,Manalaw,October,2022,7:30,Cloudy,NE,Green,29,2,36,29.5,
4,Mataas na Kahoy,October,2022,6:55,Cloudy,NE,Green,28,2.1,50,28.6,
5,Tanauan,October,2022,6:34,Cloudy,NE,Green,27.5,1.9,50,30,
1,Sampaloc,November,2022,,Partly Cloud,NE,Green,28.5,,,28.6,
1,Quiling,November,2022,,Rainy Cloudy,NE,Green,27,,,28.2,
1,San Isidro,November,2022,,,,,,,,,
2,Buso-Buso,November,2022,,,,,,,,,
2,Leviste,November,2022,,Cloudy,NE,Green,27,,,28.9,
3,Ba�aga,November,2022,,,,,,,,,
3,Manalaw,November,2022,,,,,,,,,
4,Mataas na Kahoy,November,2022,,Mostly Cloudy,NE,Green,28,,,28.4,
5,Tanauan,November,2022,,Mostly Cloudy,NE,Green,28,,,28.2,
1,Sampaloc,December ,2022,,Sunny,ENE,Green,29.5,,,28.9,
1,Quiling,December ,2022,,Sunny,ENE,Green,28.5,,,28.4,
1,San Isidro,December ,2022,,,,,,,,,
2,Buso-Buso,December ,2022,,Partly Cloudy,ENE,Green,27.5,,,28.8,
2,Leviste,December ,2022,,Sunny,ENE,Green,30.5,,,29,
3,Ba�aga,December ,2022,,Sunny,ENE,Green,28,,,28.8,
3,Manalaw,December ,2022,,Sunny,ENE,Green,27.5,,,28.8,
4,Mataas na Kahoy,December ,2022,,Fair,ENE,Green,26,,,28.2,
5,Tanauan,December ,2022,,Fair,NE,Green,26.5,,,28.2,
1,Sampaloc,January ,2023,7:08,Mostly Cloudy,E,Dark Green,26.5,3.9,,26.8,
1,Quiling,January ,2023,8:20,Mostly Cloudy,ENE,Dark Green,28,5.5,,26.8,
1,San Isidro,January ,2023,,,,,,,,,
2,Buso-Buso,January ,2023,10:43,Cloudy,NE,Dark Green,27.3,5.9,10,26.8,
2,Leviste,January ,2023,7:41,Mostly Cloudy,NE,Dark Green,28.5,3.9,,27.1,
3,Ba�aga,January ,2023,10:05,Cloudy,ENE,Dark Green,28,3.9,12.3,26.8,
3,Manalaw,January ,2023,9:16,Cloudy,ENE,Dark Green,26.9,4.2,10.2,27,
4,Mataas na Kahoy,January ,2023,7:27,Cloudy,NE,Dark Green,25.6,5.2,48.4,26.6,
5,Tanauan,January ,2023,8:45,Mostly Cloudy,NE,Dark Green,26,4.2,,26.6,
1,Sampaloc,February,2023,8:37,Mostly Sunny,NE,Dark Green,32.8,2.6,,32.2,
1,Quiling,February,2023,9:01,Sunny,NE,Green,31.2,4.2,,31.8,
1,San Isidro,February,2023,,,,,,,,,
2,Buso-Buso,February,2023,8:04,Mostly Sunny,NE,Dark Green,31.5,3,,31.9,
2,Leviste,February,2023,8:22,Mostly Sunny,NNE,Dark Green,33,2.7,,32.2,
3,Ba�aga,February,2023,7:52,Mostly Sunny,NE,Dark Green,30.5,3.2,,32,
3,Manalaw,February,2023,7:36,Mostly Sunny,ENE,Dark Green,30.3,2.9,,32,
4,Mataas na Kahoy,February,2023,6:58,Fair,ENE,Dark Green,28.9,6.5,,31.3,
5,Tanauan,February,2023,6:34,Fair,ENE,Dark Green,28.8,3.3,,31.5,
1,Sampaloc,March,2023,8:54,Sunny,NE,Green,28.5,2.5,87.7,26.8,
1,Quiling,March,2023,9:20,Sunny,NE,Green,28.5,3.8,27.4,26.5,
1,San Isidro,March,2023,,,,,,,,,
2,Buso-Buso,March,2023,8:14,Partly Cloudy,NE,Green,30,2.7,44.7,27,
2,Leviste,March,2023,8:37,Partly Cloudy,NE,Green,29.5,2.9,27.4,26.9,
3,Ba�aga,March,2023,8:02,Sunny,NE,Green,27.5,3.2,33.5,27.1,
3,Manalaw,March,2023,7:44,Fair,NE,Green,27,3,31,26.8,
4,Mataas na Kahoy,March,2023,7:08,Fair,NE,Green,26,4.8,61.6,26.5,
5,Tanauan,March,2023,6:44,Fair,NE,Green,28,4.1,50.9,26.3,
1,Sampaloc,April,2023,8:36,Sunny,E,Green,30,1.4,,30.6,
1,Quiling,April,2023,8:58,Sunny,ENE,Green,31.1,1.7,,30.2,
1,San Isidro,April,2023,,,,,,,,,
2,Buso-Buso,April,2023,8:00,Sunny,E,Green,29,1.2,,30,
2,Leviste,April,2023,8:20,Sunny,ENE,Dark Green,29.5,1.2,,30.5,
3,Ba�aga,April,2023,7:47,Sunny,E,Dark Green,29.2,1.3,,29.8,
3,Manalaw,April,2023,7:29,Mostly Sunny,E,Green,28.3,1.3,,29.9,
4,Mataas na Kahoy,April,2023,6:53,Partly Sunny,E,Green,28.7,1.8,,28.8,
5,Tanauan,April,2023,6:30,Partly Sunny,ESE,Green,27.8,1.8,,28.8,
1,Sampaloc,May,2023,8:46,Mostly Cloudy,ENE,Green,31,1.9,,31.3,
1,Quiling,May,2023,9:09,Partly Cloudy ,E,Green,31,2.3,,31,
1,San Isidro,May,2023,,,,,,,,,
2,Buso-Buso,May,2023,8:00,Partly Cloudy,ENE,Green,30,2.2,,30.8,
2,Leviste,May,2023,8:19, Cloudy,NE,Green,30,1.9,,31.6,
3,Ba�aga,May,2023,7:48,Partly Cloudy,ENE,Green,30,2.1,,31.1,
3,Manalaw,May,2023,7:33,Partly Cloudy,,Green,29.5,2.2,,31.1,
4,Mataas na Kahoy,May,2023,6:58,Partly Cloudy,ENE,Green,27,2.4,,29.9,
5,Tanauan,May,2023,6:31,Fair,ESE,Green,28,2.6,,30.2,
1,Sampaloc,June,2023,8:35,Partly Sunny,NNW,Green,31,1.7,,30.8,
1,Quiling,June,2023,8:56,Mostly Sunny,NE,Green,31.8,1.8,,31.1,
1,San Isidro,June,2023,,,,,,,,,
2,Buso-Buso,June,2023,8:04,Cloudy,NW,Green,29.9,1.9,,31.5,
2,Leviste,June,2023,8:21,Cloudy,NNW,Green,31,1.7,,31.9,
3,Ba�aga,June,2023,7:50,Cloudy,NW,Green,29.8,1.7,,31.6,
3,Manalaw,June,2023,7:34,Mostly Sunny,N,Green,29,2.1,,31,
4,Mataas na Kahoy,June,2023,7:02,Mostly Sunny,WNW,Green,29.4,1.9,,31.1,
5,Tanauan,June,2023,6:39,Cloudy,SW,Green,29.5,1.8,,31.1,
1,Sampaloc,July,2023,8:35,Partly Cloudy,SWS,Dark Green,31,2.5,,31.1,
1,Quiling,July,2023,8:57,Sunny,SWS,Dark Green,31,2.1,,31.3,
1,San Isidro,July,2023,,,,,,,,,
2,Buso-Buso,July,2023,8:10,Cloudy,NE,Dark Green,29,1.2,,32.2,
2,Leviste,July,2023,8:10,Partly Cloudy,SW,Dark Green,30.5,2.2,,30.8,
3,Ba�aga,July,2023,7:57,Cloudy,NE,Dark Green,31,1.8,,32.5,
3,Manalaw,July,2023,6:39,Cloudy,NE,Dark Green,31,1.9,,32.5,
4,Mataas na Kahoy,July,2023,5:54,Mostly Cloudy,N,Dark Green,31,1.6,,31.5,
5,Tanauan,July,2023,6:30,Mostly Cloudy,W,Dark Green,28,2.1,,30.3,
1,Sampaloc,August,2023,8:28,Mostly Sunny,W, Green,32.5,2,349,30.9,
1,Quiling,August,2023,8:46,Mostly Sunny,SW,Dark Green,31.5,2.1,94.5,31.6,
1,San Isidro,August,2023,,,,,,,,,
2,Buso-Buso,August,2023,7:50,Mostly Sunny,W,Brownish Green,31,1.3,145.5,30.8,
2,Leviste,August,2023,8:12,Mostly Sunny,WNW,Dark Green,31,1.7,88.9,30.4,
3,Ba�aga,August,2023,7:42,Mostly Sunny,W,Brownish Green,31,1.4,141.1,30.3,
3,Manalaw,August,2023,7:25,Sunny,SW,Brownish Green,30.5,1.8,99.5,29.9,
4,Mataas na Kahoy,August,2023,6:53,Partly Sunny,SW,Dark Green,30,2.1,242,30.1,
5,Tanauan,August,2023,6:32,Mostly Sunny,SW,Dark Green,29.8,1.9,334,30.6,
1,Sampaloc,September,2023,8:32,Partly Cloudy,SWS,Green,30.5,1.9,96.6,31,
1,Quiling,September,2023,8:53,Cloudy,SW,Green,30.6,1.7,25.5,31.1,
1,San Isidro,September,2023,,,,,,,,,
2,Buso-Buso,September,2023,7:58,Cloudy,W,Green,29.5,1.9,45.4,30.2,
2,Leviste,September,2023,8:16,Cloudy,WNW,Green,30,1.7,28.5,30.7,
3,Ba�aga,September,2023,7:45,Cloudy,SWS,Green,29.8,2,36.6,30.2,
3,Manalaw,September,2023,7:31,Partly Cloudy,SWS,Green,30,2.3,32,30.2,
4,Mataas na Kahoy,September,2023,6:59,Fair,SWS,Green,30.3,2.3,64.3,30.2,
5,Tanauan,September,2023,6:40,Partly Cloudy,SW,Green,29.5,1.9,,29.8,
1,Sampaloc,October,2023,8:38,Sunny,E,Green,30,1.7,293,29.4,
1,Quiling,October,2023,9:01,Sunny,E,Green,30,1.6,109,29,
1,San Isidro,October,2023,,,,,,,,,
2,Buso-Buso,October,2023,8:03,Sunny,ENE,Green,29.5,2.1,174,29,
2,Leviste,October,2023,8:20,Sunny,NE,Green,29.9,1.6,123,29.2,
3,Ba�aga,October,2023,7:49,Fair,ENE,Green,28.5,1.9,93.6,28.9,
3,Manalaw,October,2023,7:30,Fair,E,Green,28.3,2,124.9,29,
4,Mataas na Kahoy,October,2023,6:57,Fair,ENE,Green,28,3.2,198,28,
5,Tanauan,October,2023,6:38,Fair,ESE,Green,28,3.1,,28.2,
1,Sampaloc,November,2023,7:16,Mostly Cloudy,ENE,Dark Green,27.5,4.2,310,27.2,
1,Quiling,November,2023,6:47,Mostly Cloudy,NE,Dark Green,26,3.5,98.4,27,
1,San Isidro,November,2023,,,,,,,,,
2,Buso-Buso,November,2023,6:27,Fair,ENE,Dark Green,27,4.4,149.3,27,
2,Leviste,November,2023,7:38,Mostly Cloudy,ENE,Dark Green,26.5,4.4,118,27.2,
3,Ba�aga,November,2023,6:44,Fair,ENE,Dark Green,26.8,3.3,90.7,27,
3,Manalaw,November,2023,7:04,Fair,E,Dark Green,27.1,3.9,169.9,27,
4,Mataas na Kahoy,November,2023,7:49,Fair,ENE,Dark Green,27,4.3,114,27,
5,Tanauan,November,2023,8:26,Mostly Cloudy,NE,Dark Green,27.3,3.9,314,27,
1,Sampaloc,December ,2023,7:08,Sunny,ENE,Green,29.5,3.9,,27.1,
1,Quiling,December ,2023,6:44,Fair,NE,Green,27,5.5,,26.3,
1,San Isidro,December ,2023,,,,,,,,,
2,Buso-Buso,December ,2023,6:41,Fair,NE,Green,27,3.1,,27.3,
2,Leviste,December ,2023,7:26,Sunny,ENE,Green,29.4,2.9,,28,
3,Ba�aga,December ,2023,6:56,Fair,NE,Green,27.3,2.9,,27.4,
3,Manalaw,December ,2023,7:17,Sunny,ENE,Green,26.5,3.2,,27.8,
4,Mataas na Kahoy,December ,2023,8:00,Sunny,ENE,Green,27.1,5.9,,27.1,
5,Tanauan,December ,2023,8:25,Sunny,ENE,Green,27,4.2,,27,
1,Sampaloc,January ,2024,7:17,Mostly Cloudy,ENE,Dark Green,25.5,4.9,,25.9,
1,Quiling,January ,2024,6:52,Mostly Cloudy,ENE,Dark Green,25,3.9,,26.5,
1,San Isidro,January ,2024,,,,,,,,,
2,Buso-Buso,January ,2024,6:43,Mostly Cloudy,NE,Dark Green,25.7,3.8,,25.7,
2,Leviste,January ,2024,7:41,Rainshower,ENE,Dark Green,24,4,,25.7,
3,Ba�aga,January ,2024,7:01,Mostly Cloudy,NE,Dark Green,25.2,4.2,,25.2,
3,Manalaw,January ,2024,7:20,Mostly Cloudy,ENE,Dark Green,25.1,3.9,,25.1,
4,Mataas na Kahoy,January ,2024,,,,,,,,,
5,Tanauan,January ,2024,8:27,Mostly Cloudy,E,Dark Green,25.5,3.9,,25.8,
1,Sampaloc,February,2024,7:01,Mostly Cloudy,NE,Dark Green,26,4.7,108,25.2,
1,Quiling,February,2024,6:40,Mostly Cloudy,NE,Dark Green,29.3,4.3,30,24,
1,San Isidro,February,2024,,,,,,,,,
2,Buso-Buso,February,2024,6:34,Mostly Cloudy,ENE,Dark Green,25,4.6,57.1,25.5,
2,Leviste,February,2024,7:24,Partly Cloudy,NE,Dark Green,27,3.9,31,25.3,
3,Ba�aga,February,2024,6:50,Mostly Cloudy,ENE,Dark Green,27,3.8,34.4,26,
3,Manalaw,February,2024,7:07,Mostly Cloudy,ENE,Dark Green,27,3.4,28.7,26,
4,Mataas na Kahoy,February,2024,7:49,Mostly Cloudy,ENE,Dark Green,27,4.9,54.8,25.3,
5,Tanauan,February,2024,8:19,Mostly Cloudy,NE,Dark Green,25,2.9,99,25,
1,Sampaloc,March,2024,7:10,Partly Cloudy,ENE,Dark Green,27,2.9,90.2,25,
1,Quiling,March,2024,6:47,Partly Cloudy,ENE,Dark Green,27,4.2,34.4,25.6,
1,San Isidro,March,2024,,,,,,,,,
2,Buso-Buso,March,2024,7:08,Mostly Cloudy,ENE,Dark Green,27.3,2.2,47.8,26.5,
