stationid,Barangay,Month,Year,pH,Ammonia,DO,Nitrate,Phosphate
2,Leviste,December ,2021,,,,0.09,2.79
3,Bañaga,December ,2021,7.76,0.26,4.6,0.22,2.67
3,Manalaw,December ,2021,,,,0.35,
4,Nangkaan,December ,2021,,,,0.21,
5,Tanauan,December ,2021,8.56,0.07,4.28,,
1,Sampaloc,January ,2022,7.79,0.33,5.36,0.24,2.86
1,Quiling,January ,2022,7.88,0.08,5.41,0.25,2.65
1,San Isidro,January ,2022,8.15,0.28,4.1,0.36,
2,Buso-Buso,January ,2022,7.93,0.14,3.69,0.19,2.68
2,Leviste,January ,2022,7.94,0.11,4.37,0.33,2.72
3,Bañaga,January ,2022,7.94,0.14,5,,2.62
3,Manalaw,January ,2022,8.13,0.24,5.74,,2.56
4,Nangkaan,January ,2022,7.94,0.08,3.46,0.24,2.72
5,Tanauan,January ,2022,7.81,0.15,3.45,0.3,2.56
1,Sampaloc,February,2022,8.05,0.13,5.42,0.31,2.71
1,Quiling,February,2022,8.13,0.13,6.27,0.25,2.73
1,San Isidro,February,2022,8.11,0.13,6.06,0.36,3.18
2,Buso-Buso,February,2022,8.28,0.18,4.67,0.19,2.7
2,Leviste,February,2022,8.05,0.14,4.54,0.33,2.79
3,Bañaga,February,2022,8.13,0.28,4.63,0.11,2.67
3,Manalaw,February,2022,8.22,0.18,5.29,0.09,2.54
4,Nangkaan,February,2022,8.3,0.16,5.3,0.22,2.5
5,Tanauan,February,2022,8.12,0.17,5.35,0.35,2.68
1,Sampaloc,March,2022,8.15,0.17,5.29,0.21,2.64
1,Quiling,March,2022,8.32,0.27,6.2,0.2,2.65
1,San Isidro,March,2022,7.75,0.34,6.28,0.14,2.63
2,Buso-Buso,March,2022,8.02,0.27,5.65,0.11,2.7
2,Leviste,March,2022,8.04,0.18,5.51,0.26,2.6
3,Bañaga,March,2022,8.07,0.27,5.27,0.1,2.49
3,Manalaw,March,2022,8.14,0.19,6.65,0.16,2.5
4,Nangkaan,March,2022,8.44,0.15,6.86,0.12,2.54
5,Tanauan,March,2022,8.32,0.17,6.33,0.21,2.61
1,Sampaloc,April,2022,7.73,,6.41,0.2,2.49
1,Quiling,April,2022,7.86,0.3,6.18,0.15,2.55
1,San Isidro,April,2022,7.9,0.3,6.59,0.1,2.59
2,Buso-Buso,April,2022,7.68,0.3,5.36,0.25,2.54
2,Leviste,April,2022,7.77,0.3,6.27,0.2,2.62
3,Bañaga,April,2022,7.85,0.3,5.73,0.15,2.47
3,Manalaw,April,2022,7.95,0.3,6.18,0.1,2.48
4,Nangkaan,April,2022,7.98,0.3,6.34,0.25,2.45
5,Tanauan,April,2022,7.47,0.3,6.27,,2.51
1,Sampaloc,May,2022,,0.3,,,
1,Quiling,May,2022,,,,0.15,
1,San Isidro,May,2022,,,,0.1,
2,Buso-Buso,May,2022,7.93,2.71,5.81,0.25,2.71
2,Leviste,May,2022,8.02,2.63,5.11,0.2,2.63
3,Bañaga,May,2022,8.13,2.63,5.26,0.15,2.63
3,Manalaw,May,2022,8.4,2.75,6.22,0.1,2.75
4,Nangkaan,May,2022,8.06,2.72,6.32,0.25,2.72
5,Tanauan,May,2022,7.78,2.74,6.36,,2.74
1,Sampaloc,June,2022,8.28,0.26,5.85,0.18,2.66
1,Quiling,June,2022,8.31,0.29,5.58,0.11,2.64
1,San Isidro,June,2022,8.07,0.27,6.37,0.14,2.53
2,Buso-Buso,June,2022,8.02,0.34,5.43,0.13,2.49
2,Leviste,June,2022,7.99,0.45,6.25,0.16,2.53
3,Bañaga,June,2022,8.11,0.43,5.6,0.12,2.58
3,Manalaw,June,2022,8.17,0.41,5.29,0.1,2.62
4,Nangkaan,June,2022,8.16,0.28,6.23,0.18,2.4
5,Tanauan,June,2022,8.18,0.59,5.98,0.3,2.57
1,Sampaloc,July,2022,8.34,0.18,5.19,0.06,2.57
1,Quiling,July,2022,8.38,0.61,5.42,0.05,2.72
1,San Isidro,July,2022,8.6,0.28,4.49,0.06,2.45
2,Buso-Buso,July,2022,8.51,0.41,5.9,0.15,2.56
2,Leviste,July,2022,8.24,0.31,5.02,0.15,2.61
3,Bañaga,July,2022,8.2,0.93,5.53,0.06,2.59
3,Manalaw,July,2022,8.42,0.36,5.75,0.08,2.58
4,Nangkaan,July,2022,8.37,0.19,6.28,0.15,2.56
5,Tanauan,July,2022,8.14,0.42,5.15,0.12,2.54
1,Sampaloc,August,2022,8.91,0.17,4.74,0.16,2.37
1,Quiling,August,2022,8.55,0.23,6.7,0.01,2.36
1,San Isidro,August,2022,8.45,0.24,6.05,,2.12
2,Buso-Buso,August,2022,8.69,0.28,4.08,0.03,2.3
2,Leviste,August,2022,8.7,0.25,5.75,0.07,2.42
3,Bañaga,August,2022,8.88,0.16,4.76,0.13,2.22
3,Manalaw,August,2022,9.07,0.18,5.1,0.14,2.43
4,Nangkaan,August,2022,8.57,0.19,6.75,0.09,2.42
5,Tanauan,August,2022,8.72,0.19,6.75,0.04,2.41
1,Sampaloc,September,2022,8.14,0.45,4.9,0.11,2.23
1,Quiling,September,2022,8.09,0.41,7.09,0.09,2.29
1,San Isidro,September,2022,,,,,
2,Buso-Buso,September,2022,8.23,0.45,5.88,0.07,2.5
2,Leviste,September,2022,8.13,0.48,5.41,0.13,2.18
3,Bañaga,September,2022,8.19,0.38,5.74,0.11,2.41
3,Manalaw,September,2022,8.34,0.44,5.43,0.12,2.31
4,Nangkaan,September,2022,7.98,0.47,7.43,0.13,2.3
5,Tanauan,September,2022,7.96,0.46,7.64,0.18,2.5
1,Sampaloc,October,2022,8.21,0.49,5.46,0.06,2.48
1,Quiling,October,2022,8.37,0.44,5.68,0.06,2.3
1,San Isidro,October,2022,8.26,0.46,4.22,0.07,2.24
2,Buso-Buso,October,2022,8.35,0.48,4.45,0.08,2.38
2,Leviste,October,2022,8.02,0.57,5.22,0.03,2.33
3,Bañaga,October,2022,8.33,0.48,2.43,0.09,2.3
3,Manalaw,October,2022,8.39,0.44,6.73,0.08,2.4
4,Nangkaan,October,2022,8.11,0.45,6.29,0.05,2.4
5,Tanauan,October,2022,8.29,0.46,7.61,0.09,2.35
1,Sampaloc,November,2022,8.03,0.55,5.28,0.11,2.67
1,Quiling,November,2022,7.96,0.51,5.21,0.24,2.52
1,San Isidro,November,2022,,,,,
2,Buso-Buso,November,2022,,,,,
2,Leviste,November,2022,8.19,0.58,5.32,0.16,2.47
3,Bañaga,November,2022,,,,,
3,Manalaw,November,2022,,,,,
4,Nangkaan,November,2022,8.33,0.51,5.63,0.15,2.5
5,Tanauan,November,2022,8.28,0.53,5.71,0.2,2.38
1,Sampaloc,December ,2022,7.88,0.72,5.28,0.13,2.27
1,Quiling,December ,2022,7.75,0.73,6.14,0.13,2.22
1,San Isidro,December ,2022,,,,,
2,Buso-Buso,December ,2022,7.9,0.74,4.41,0.19,2.3
2,Leviste,December ,2022,8.14,0.64,6.35,0.19,2.37
3,Bañaga,December ,2022,7.82,0.73,3.18,0.14,2.35
3,Manalaw,December ,2022,8.08,0.65,5.17,0.12,2.31
4,Nangkaan,December ,2022,8.26,0.6,6.13,0.11,2.37
5,Tanauan,December ,2022,8.18,0.51,6.27,0.15,2.44
1,Sampaloc,January ,2023,7.76,0.81,5.12,0.11,2.82
1,Quiling,January ,2023,7.63,0.79,5.11,,2.63
1,San Isidro,January ,2023,,,,,
2,Buso-Buso,January ,2023,7.77,0.79,5.8,0.36,2.56
2,Leviste,January ,2023,7.9,0.8,5.88,0.25,2.74
3,Bañaga,January ,2023,7.69,0.77,5.94,,
3,Manalaw,January ,2023,7.82,0.65,5.39,,
4,Nangkaan,January ,2023,7.7,0.62,5.63,0.27,2.63
5,Tanauan,January ,2023,7.84,0.77,5.65,,2.66
1,Sampaloc,February,2023,8.23,0.67,7.02,0.21,2.77
1,Quiling,February,2023,8.15,0.7,5.87,0.29,2.77
1,San Isidro,February,2023,,,,,
2,Buso-Buso,February,2023,8.22,0.68,7.2,,2.62
2,Leviste,February,2023,8.38,0.7,7.44,,2.69
3,Bañaga,February,2023,8.07,0.77,5.14,0.27,2.6
3,Manalaw,February,2023,8.31,0.7,7.16,0.13,2.56
4,Nangkaan,February,2023,8.04,0.62,5.58,0.21,2.7
5,Tanauan,February,2023,8.15,0.65,7.18,0.13,2.75
1,Sampaloc,March,2023,8.13,0.83,5.38,0.24,2.67
1,Quiling,March,2023,8.19,0.73,5.88,0.27,2.67
1,San Isidro,March,2023,,,,,
2,Buso-Buso,March,2023,8.18,0.9,5.69,0.22,2.67
2,Leviste,March,2023,8.24,0.96,5.99,0.21,2.44
3,Bañaga,March,2023,8.15,0.87,4.92,0.24,2.73
3,Manalaw,March,2023,8.2,0.79,5.65,0.27,2.45
4,Nangkaan,March,2023,8.24,0.81,6.22,0.27,2.5
5,Tanauan,March,2023,8.32,0.84,6.88,0.24,2.67
1,Sampaloc,April,2023,8.8,0.8,8.72,0.02,2.6
1,Quiling,April,2023,8.95,0.8,10.82,0.02,2.53
1,San Isidro,April,2023,,,,,
2,Buso-Buso,April,2023,8.68,0.81,8.63,0.31,2.69
2,Leviste,April,2023,8.75,0.68,10.13,0.03,2.68
3,Bañaga,April,2023,8.57,0.86,5.31,0.02,2.51
3,Manalaw,April,2023,8.73,0.78,8.76,0.05,2.51
4,Nangkaan,April,2023,8.81,0.78,9.27,0.2,2.61
5,Tanauan,April,2023,8.75,0.72,9.05,0.05,2.56
1,Sampaloc,May,2023,8.7,0.9,7.08,0.3,2.49
1,Quiling,May,2023,8.95,0.91,6.72,0.1,2.44
1,San Isidro,May,2023,,,,,
2,Buso-Buso,May,2023,8.8,0.89,8.64,,2.55
2,Leviste,May,2023,8.79,0.91,8.54,,2.5
3,Bañaga,May,2023,8.55,0.96,5.77,0.07,2.49
3,Manalaw,May,2023,8.85,0.91,8.4,0.08,2.56
4,Nangkaan,May,2023,8.76,1.68,8.29,0.09,2.75
5,Tanauan,May,2023,8.86,0.88,10.19,0.11,2.51
1,Sampaloc,June,2023,8.82,0.11,5.9,0.05,2.48
1,Quiling,June,2023,9,0.08,8.95,0.05,2.45
1,San Isidro,June,2023,,,,,
2,Buso-Buso,June,2023,8.77,0.23,4.19,0.72,2.76
2,Leviste,June,2023,8.87,0.97,6.77,0.03,2.39
3,Bañaga,June,2023,8.57,0.95,5.13,0.12,2.42
3,Manalaw,June,2023,8.78,0.95,5.32,0.03,2.52
4,Nangkaan,June,2023,8.99,0.89,8.67,0.02,2.55
5,Tanauan,June,2023,9.05,0.87,8.87,0.21,2.4
1,Sampaloc,July,2023,8.78,0.18,5.88,0.1,2.44
1,Quiling,July,2023,8.9,0.16,7.7,0.12,2.33
1,San Isidro,July,2023,,,,,
2,Buso-Buso,July,2023,8.73,0.31,5.72,,2.2
2,Leviste,July,2023,8.59,0.29,3.03,0.08,2.46
3,Bañaga,July,2023,8.74,0.31,3.17,0.01,2.2
3,Manalaw,July,2023,9.06,0.19,6.74,0.11,2.2
4,Nangkaan,July,2023,9.17,0.17,9.14,,2.6
5,Tanauan,July,2023,8.94,0.19,7.15,0.03,2.69
1,Sampaloc,August,2023,8.82,0.13,7.56,0.38,0.01
1,Quiling,August,2023,8.33,0.15,7.83,0.11,2.36
1,San Isidro,August,2023,,,,,
2,Buso-Buso,August,2023,8.68,0.17,6.18,0.03,2.32
2,Leviste,August,2023,8.67,0.15,6.09,0.13,2.41
3,Bañaga,August,2023,8.5,0.23,5.93,0.08,2.31
3,Manalaw,August,2023,8.35,0.21,4.33,0.12,2.28
4,Nangkaan,August,2023,8.04,0.18,8.01,0.01,3.9
5,Tanauan,August,2023,8.87,0.2,8.32,0.06,2.34
1,Sampaloc,September,2023,8.64,0.23,6.47,0.05,2.43
1,Quiling,September,2023,8.88,0.16,9.8,0.14,2.49
1,San Isidro,September,2023,,,,,
2,Buso-Buso,September,2023,8.65,0.25,5.35,0.18,2.48
2,Leviste,September,2023,8.44,0.29,4.11,0.04,2.46
3,Bañaga,September,2023,8.51,0.33,4.53,0.01,2.44
3,Manalaw,September,2023,8.35,0.4,2.67,0.2,2.46
4,Nangkaan,September,2023,8.27,0.17,9.2,0.22,2.55
5,Tanauan,September,2023,8.84,0.2,9.21,0.06,2.44
1,Sampaloc,October,2023,8.4,0.24,4.8,0.06,
1,Quiling,October,2023,8.61,0.22,7.36,0.1,
1,San Isidro,October,2023,,,,,
2,Buso-Buso,October,2023,8.31,0.35,3.49,0.03,2.5
2,Leviste,October,2023,8.62,0.31,6.2,,2.64
3,Bañaga,October,2023,8.32,0.36,3.41,0.04,2.65
3,Manalaw,October,2023,8.55,0.38,5.41,0.03,2.45
4,Nangkaan,October,2023,8.62,0.21,6.23,0.03,2.64
5,Tanauan,October,2023,8.63,0.21,6.38,0.05,2.62
1,Sampaloc,November,2023,8.21,0.44,4.95,0.11,0.01
1,Quiling,November,2023,8.23,0.3,4.81,0.17,0.01
1,San Isidro,November,2023,,,,,0.09
2,Buso-Buso,November,2023,8.39,0.32,4.08,0.08,0.01
2,Leviste,November,2023,8.25,0.35,5.07,0.13,0.01
3,Bañaga,November,2023,8.31,0.36,4.7,0.09,0.09
3,Manalaw,November,2023,8.26,0.46,5.27,0.09,0.01
4,Nangkaan,November,2023,8.32,0.32,5.48,0.02,0.01
5,Tanauan,November,2023,8.3,0.23,5.81,0.1,0.09
1,Sampaloc,December ,2023,8.08,0.34,4.41,0.15,0.01
1,Quiling,December ,2023,8.17,0.22,5.1,0.24,0.01
1,San Isidro,December ,2023,,,,,0.09
2,Buso-Buso,December ,2023,8.23,0.41,4.95,0.12,0.01
2,Leviste,December ,2023,8.17,0.33,5.68,0.13,0.01
3,Bañaga,December ,2023,8.04,0.2,3.3,0.03,0.09
3,Manalaw,December ,2023,8.38,0.34,6.15,0.06,0.01
4,Nangkaan,December ,2023,8.43,0.22,6.25,0.09,0.01
5,Tanauan,December ,2023,8.36,0.24,6.61,0.07,0.09
1,Sampaloc,January ,2024,8.05,0.28,4.78,0.21,0.01
1,Quiling,January ,2024,8.1,0.32,4.78,0.26,0.01
1,San Isidro,January ,2024,,,,,0.09
2,Buso-Buso,January ,2024,8.05,0.23,4.29,0.2,0.02
2,Leviste,January ,2024,8.12,0.33,5.09,0.17,0.01
3,Bañaga,January ,2024,7.97,0.28,3.82,0.2,0.01
3,Manalaw,January ,2024,8.05,0.23,4.78,0.18,0.09
4,Nangkaan,January ,2024,,,,,
5,Tanauan,January ,2024,8.04,0.24,4.92,0.16,
1,Sampaloc,February,2024,7.91,0.33,4.18,0.32,2.93
1,Quiling,February,2024,7.92,0.31,2.76,0.34,3.1
1,San Isidro,February,2024,,,,,
2,Buso-Buso,February,2024,7.97,0.26,4,0.29,3.08
2,Leviste,February,2024,7.97,0.38,4.57,0.25,3.07
3,Bañaga,February,2024,7.86,0.36,4,0.24,3.24
3,Manalaw,February,2024,8.14,0.27,5.88,0.15,2.95
4,Nangkaan,February,2024,7.99,0.21,4.36,0.14,2.85
5,Tanauan,February,2024,7.69,0.41,1.39,0.17,2.98
1,Sampaloc,March,2024,8.25,0.2,6.37,0.21,2.93
1,Quiling,March,2024,8.17,0.16,5.41,0.31,2.94
1,San Isidro,March,2024,,,,,
2,Buso-Buso,March,2024,8.26,0.43,4.08,0.14,2.87
2,Leviste,March,2024,8.37,0.17,7.31,0.15,2.9
3,Bañaga,March,2024,8.32,0.37,5.43,0.11,2.74
3,Manalaw,March,2024,8.19,0.36,6.19,0.12,3.05
4,Nangkaan,March,2024,8.7,0.27,9.59,0.08,3.01
5,Tanauan,March,2024,8.3,0.2,7.25,0.12,2.88
